3points/pos,3points/player,3points/team,3points/total,points/pos,points/player,points/team,points/total,assistants/pos,assistants/player,assistants/team,assistants/total,rebounds/pos,rebounds/player,rebounds/team,rebounds/total,steals/pos,steals/player,steals/team,steals/total,blocks/pos,blocks/player,blocks/team,blocks/total
1,James Harden,HOU,271,1,James Harden,HOU,2096,1,LeBron James,LAL,636,1,Hassan Whiteside,POR,869,1,Ben Simmons,PHI,115,1,Hassan Whiteside,POR,187
2,Buddy Hield,SAC,244,2,Trae Young,ATL,1778,2,Trae Young,ATL,560,2,Andre Drummond,CLE,864,2,Andre Drummond,CLE,109,2,Brook Lopez,MIL,149
3,Duncan Robinson,MIA,243,3,Bradley Beal,WAS,1741,3,Ricky Rubio,PHX,507,3,Rudy Gobert,UTA,850,3,James Harden,HOU,106,3,Anthony Davis,LAL,134
4,Damian Lillard,POR,226,4,Giannis Antetokounmpo,MIL,1690,4,Devonte' Graham,CHA,471,4,Giannis Antetokounmpo,MIL,783,4,Kris Dunn,CHI,101,4,Rudy Gobert,UTA,124
5,Devonte' Graham,CHA,218,5,Damian Lillard,POR,1677,5,Luka Doncic,DAL,470,5,Domantas Sabonis,IND,771,5,Dejounte Murray,SAS,100,5,Myles Turner,IND,120
6,Trae Young,ATL,205,6,Devin Booker,PHX,1619,6,Damian Lillard,POR,453,6,Jonas Valanciunas,MEM,696,6,Chris Paul,OKC,98,6,Mitchell Robinson,NYK,119
7,Davis Bertans,WAS,200,7,Luka Doncic,DAL,1549,7,James Harden,HOU,450,7,Bam Adebayo,MIA,683,7,Robert Covington,HOU,95,7,Kristaps Porzingis,DAL,106
8,Bojan Bogdanovic,UTA,189,8,LeBron James,LAL,1544,8,Nikola Jokic,DEN,446,8,Nikola Jokic,DEN,663,8,Mikal Bridges,PHX,93,8,Andre Drummond,CLE,93
9,Tim Hardaway Jr.,DAL,185,9,Zach LaVine,CHI,1530,9,Ben Simmons,PHI,442,9,Julius Randle,NYK,622,9,Jimmy Butler,MIA,92,9,JaVale McGee,LAL,92
10,Zach LaVine,CHI,184,10,Donovan Mitchell,UTA,1525,10,Spencer Dinwiddie,BKN,432,10,Jarrett Allen,BKN,605,9,Jrue Holiday,NOP,92,10,Jaren Jackson Jr.,MEM,87
